action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
,,,,,,,"{""Q0"":""No, very straightforward."",""Q1"":""Follow my intuition and believed patterns during the practice rounds. "",""Q2"":""25"",""Q3"":""N/A""}",,60227,,,,1228192,,,survey-text,0
,,,,,,,"{""Q0"":""No, everything was clear."",""Q1"":""Don't get greedy."",""Q2"":""65"",""Q3"":""Cheers.""}",,42220,,,,1012795,,,survey-text,1
,,,,,,,"{""Q0"":""No"",""Q1"":""I clicked nodes until I had a path that passed a certain value or all of the nodes."",""Q2"":""43"",""Q3"":""""}",,53356,,,,695519,,,survey-text,2
,,,,,,,"{""Q0"":""Nothing"",""Q1"":""To reveal four nodes and then pick the one with the highest amount."",""Q2"":""41"",""Q3"":""""}",,104342,,,,531500,,,survey-text,3
,,,,,,,"{""Q0"":""no"",""Q1"":""try to make money"",""Q2"":""38"",""Q3"":""ty""}",,20827,,,,541120,,,survey-text,4
,,,,,,,"{""Q0"":""no"",""Q1"":""use the node inspector liberally, as it only cost $1 in game money and could lead to $40"",""Q2"":""24"",""Q3"":""""}",,28470,,,,861422,,,survey-text,5
,,,,,,,"{""Q0"":""The instructions and practice made the task very, very easy to understand."",""Q1"":""Spend $1 to find the path with the best reward."",""Q2"":""64"",""Q3"":""None.  Thank you.""}",,51845,,,,790830,,,survey-text,6
,,,,,,,"{""Q0"":""no"",""Q1"":""nothing, I rely on luck"",""Q2"":""22"",""Q3"":""""}",,13219,,,,422887,,,survey-text,7
,,,,,,,"{""Q0"":""no"",""Q1"":""Fine the road that lead to the most money"",""Q2"":""29"",""Q3"":""""}",,22819,,,,677500,,,survey-text,8
,,,,,,,"{""Q0"":""not at all"",""Q1"":""I just tried to use my best gut judgement. This was a fun game."",""Q2"":""31"",""Q3"":""Thank you so much for allowing me to be a part of your study.""}",,153177,,,,841084,,,survey-text,9
,,,,,,,"{""Q0"":""Everything was easy to understand"",""Q1"":""Trying to minimize my negative balance"",""Q2"":""27"",""Q3"":""none""}",,36939,,,,731710,,,survey-text,10
,,,,,,,"{""Q0"":""no"",""Q1"":""I just guessed as it seemed there was no clear pattern and I would waste more money than I made by trying to figure out one. "",""Q2"":""27"",""Q3"":""""}",,38943,,,,773915,,,survey-text,11
,,,,,,,"{""Q0"":""No"",""Q1"":""I think the best strategy was to check out the the second node in each column, branch, but I only tested that a couple of times."",""Q2"":""34"",""Q3"":""""}",,39674,,,,835720,,,survey-text,12
,,,,,,,"{""Q0"":""not really"",""Q1"":""is strated out buying everything but then changed it to just guessing "",""Q2"":""33"",""Q3"":""Thank you for allowing me to take your survey. I have been having some issues with the code not being copied right so here is my Mturk id incase there is a error in the submission. ID A3C0LPVN749UF3. ""}",,54126,,,,693575,,,survey-text,13
,,,,,,,"{""Q0"":""no"",""Q1"":""Explore the most profitable options but don't waste more money on a bad path. Once or twice, when I found a high-earning path, I just chose that path without exploring any more options because I knew they probably wouldn't be any better."",""Q2"":""30"",""Q3"":""none""}",,75797,,,,921736,,,survey-text,14
,,,,,,,"{""Q0"":""No"",""Q1"":""To see the opening and ending nodes."",""Q2"":""31"",""Q3"":""""}",,18380,,,,674747,,,survey-text,15
,,,,,,,"{""Q0"":"""",""Q1"":""The first rounds I revealed somewhat randomly. After a few rounds, I started revealing the 4 first nodes. If any of them were positive values (8, 24, 40) I would reveal the nodes after those.\nIf one of the first nodes were 40, I would focus on that one and reveal more on that part of the web.\nI would try to reveal the highest (or high-ish) path with as few reveals as possible."",""Q2"":""23"",""Q3"":""This was fun. Thank you very much!""}",,210649,,,,1235176,,,survey-text,16
,,,,,,,"{""Q0"":""Everything made sense"",""Q1"":""I bounced around strategies a lot, eventually, I just decided to spend the money to figure out my best possible move."",""Q2"":""28"",""Q3"":""""}",,47469,,,,775663,,,survey-text,17
,,,,,,,"{""Q0"":""None"",""Q1"":""Spend less earn more."",""Q2"":""48"",""Q3"":""Thank You.""}",,20533,,,,1108001,,,survey-text,18
,,,,,,,"{""Q0"":""no"",""Q1"":""none really, just try and make the best decisions."",""Q2"":""33"",""Q3"":""no.  Thank you for letting me play!""}",,29379,,,,888048,,,survey-text,19
,,,,,,,"{""Q0"":""Everything was clear to me"",""Q1"":""For the first branch I tried to find a number that was positive. From there I proceeded until I found a path that was positive it possible. I also never moved into a blind space."",""Q2"":""25"",""Q3"":""""}",,47038,,,,633521,,,survey-text,20
,,,,,,,"{""Q0"":""No"",""Q1"":""Trying to find the + dollar amounts around the inner circle then going from there to see where the + dollar amounts were"",""Q2"":""27"",""Q3"":""""}",,34654,,,,644367,,,survey-text,21
,,,,,,,"{""Q0"":""No."",""Q1"":""Try to find the most green with the least amount of checking."",""Q2"":""34"",""Q3"":""Thanks.""}",,27817,,,,748958,,,survey-text,22
,,,,,,,"{""Q0"":""Nope. It all made sense."",""Q1"":""I chose to start from the ends and work inward."",""Q2"":""30"",""Q3"":""I wish you good luck with the study.""}",,121457,,,,1325633,,,survey-text,23
,,,,,,,"{""Q0"":""no"",""Q1"":""didn't have one"",""Q2"":""38"",""Q3"":""none""}",,12652,,,,672742,,,survey-text,24
,,,,,,,"{""Q0"":""Nothing was confusing. The instructions were very clear."",""Q1"":""I tried to uncover the best path. I didn't think the cost of information was that high, so I used this option liberally."",""Q2"":""34"",""Q3"":""This was fun!""}",,52794,,,,1702999,,,survey-text,25
